id,en,pt
singleplayer,Singleplayer,Um jogador
controls,Controls,Controles
options,Options,Opções
quit,Quit,Sair
go,GO,COMEÇAR
shop,Shop,Loja
back,Back,Voltar
money,Money,Dinheiro
upgrades,Upgrades,Melhorias
health,Health,Vida
cost,Cost,Custo
customization,Customization,Customização
graphics,Graphics,Gráficos
language,Language,Idioma
full_screen,Full Screen,Tela Cheia
post_processing,Post Processing,Pós Processamento
english,English,English
portuguese,Português,Português
move_ui,Move UI,Mover UI
move,Move,Mover
cancel,Cancel,Cancelar
pause,Pause,Pausar
select,Select,Selecionar
point_and_shoot,Point and Shoot,Apontar e Atirar
you_died,You Died,Você Morreu
menu,Menu,Menu
paused,Paused,Pausado
continue,Continue,Continuar
survive,Survive as long as you can,Sobreviva o máximo que conseguir
you,You,Você
enemies,Enemies,Inimigos
power_ups,Power Up,Poderzinho
max_health,You have the maximum health available,Você tem a vida máxima disponível
new_highscore,New Highscore!,Nova Pontuação Máxima!
more_luck,More luck next time…,Mais sorte da próxima vez…
score,Score,Pontuação
